代码,名称,最新价,涨跌幅,换手率,量比,流通市值(亿),MA5,MA10,MA20,MA60,价格位置,综合评分,特征
300559,佳发教育,14.3,4.84,6.59,1.7259593618672067,57.13058308,13.430000000000001,13.015,12.352500000000001,12.318,1.0,140,涨幅4.84%✓; 价格位置高100.0%✓; 当前价=最高价✓; 高开后走强✓
300968,格林精密,16.12,4.95,5.14,1.8610742112881913,66.636856,15.284,15.085999999999999,14.7,14.393666666666666,0.8658536585365861,120,涨幅4.95%✓; 价格位置高86.6%✓; 高开后走强✓
300909,汇创达,53.01,3.68,7.76,1.518363910506148,91.69297617,48.989999999999995,48.481,46.068,42.161833333333334,0.8490990990990986,120,涨幅3.68%✓; 价格位置高84.9%✓; 高开后走强✓
300586,美联新材,11.95,2.4,8.83,2.3985700311935942,84.99038908,11.378,11.197,10.818000000000001,10.6085,0.9552238805970132,120,涨幅2.40%✓; 价格位置高95.5%✓; 高开后走强✓
300303,聚飞光电,7.19,2.42,6.3,1.9122321922492036,101.78203739,7.042,6.956999999999999,6.916500000000001,6.759333333333333,0.9444444444444459,120,涨幅2.42%✓; 价格位置高94.4%✓; 高开后走强✓
002174,游族网络,13.63,3.65,6.48,1.9839982855750957,134.03130926,12.956,12.690000000000001,12.230500000000001,12.205166666666665,0.9411764705882365,120,涨幅3.65%✓; 价格位置高94.1%✓; 高开后走强✓
300913,兆龙互连,57.0,2.15,5.65,1.7176750267443242,195.3852384,54.992000000000004,54.17,54.129,52.394999999999996,0.8272058823529416,120,涨幅2.15%✓; 价格位置高82.7%✓; 高开后走强✓
000801,四川九洲,18.51,3.7,5.21,1.3173137097051228,188.12171289,17.738000000000003,17.43,17.3045,16.355333333333334,0.9310344827586223,110,涨幅3.70%✓; 价格位置高93.1%✓; 高开后走强✓
002438,江苏神通,16.9,3.68,6.45,1.2797555825437865,85.77383091,16.292,16.073,15.7875,14.645833333333334,0.8301886792452825,110,涨幅3.68%✓; 价格位置高83.0%✓; 高开后走强✓
300360,炬华科技,18.44,3.6,6.42,1.4193818254816803,94.81610603,17.89,17.740000000000002,17.2905,16.5075,0.8777777777777787,110,涨幅3.60%✓; 价格位置高87.8%✓; 高开后走强✓
603712,七一二,23.68,3.5,6.38,1.2796719111192896,182.8096,22.642000000000003,21.466,20.6055,20.5085,0.7589285714285721,110,涨幅3.50%✓; 价格位置高75.9%✓; 高开后走强✓
000420,吉林化纤,4.77,3.25,8.49,1.0188114996500561,117.28801996,4.614,4.553,4.3005,4.129333333333333,0.7857142857142835,110,涨幅3.25%✓; 价格位置高78.6%✓; 高开后走强✓
000881,中广核技,9.59,3.01,5.2,1.3032480736588299,90.66633566,9.318000000000001,9.17,8.9455,8.567666666666668,0.7727272727272733,110,涨幅3.01%✓; 价格位置高77.3%✓; 高开后走强✓
300739,明阳电路,19.59,4.2,7.85,1.376678365059347,73.15986526,18.839999999999996,18.68,18.16,17.104333333333333,0.8720930232558145,110,涨幅4.20%✓; 价格位置高87.2%✓; 高开后走强✓
600397,江钨装备,9.41,3.86,8.75,2.254155394961587,93.1552249,8.524000000000001,8.084,7.599500000000001,7.2075,0.4456521739130437,90,涨幅3.86%✓; 高开后走强✓
301086,鸿富瀚,120.32,2.49,9.56,2.063969132818272,108.288,119.078,116.194,110.18800000000002,94.97083333333333,0.6797214969538722,90,涨幅2.49%✓; 高开后走强✓
920418,苏轴股份,33.33,4.38,7.03,1.8476558157397396,54.15778368,31.314,30.713,30.217000000000002,29.065833333333334,0.6999999999999996,90,涨幅4.38%✓; 高开后走强✓
603267,鸿远电子,60.0,3.93,7.34,1.4625623415064708,138.6485352,56.378,54.864999999999995,52.052499999999995,50.208333333333336,0.676156583629894,80,涨幅3.93%✓; 高开后走强✓
300740,水羊股份,26.29,2.5,7.61,1.4643108062448715,102.53357905,24.79,23.631,22.707,21.562833333333334,0.3200000000000003,80,涨幅2.50%✓; 高开后走强✓
